,precision,recall,map-50,Map50-95
0,0.993,1,0.995,0.948
1,1,1,0.995,0.934
2,0.999,0.994,0.995,0.924
3,0.991,0.991,0.994,0.942
4,0.995,0.994,0.995,0.932
5,0.974,0.992,0.994,0.927
6,0.997,1,0.995,0.926
7,0.993,0.983,0.995,0.935
8,0.989,0.986,0.994,0.917
9,0.999,1,0.995,0.936
10,0.999,1,0.995,0.925
11,0.999,0.997,0.995,0.942
12,0.999,1,0.995,0.923
13,1,0.999,0.995,0.94
14,0.998,1,0.995,0.943
15,0.998,1,0.995,0.926
16,0.996,1,0.995,0.934
17,0.999,1,0.995,0.906
18,0.999,1,0.995,0.945
19,0.742,0.984,0.939,0.891
20,0.92,0.955,0.976,0.897
21,0.996,1,0.995,0.952
22,0.996,1,0.995,0.945
23,0.996,1,0.995,0.946
24,0.995,1,0.995,0.924
25,0.998,1,0.995,0.936
26,1,0.998,0.995,0.929
27,0.991,1,0.995,0.938
28,0.993,1,0.995,0.952
29,0.993,1,0.995,0.928
30,0.993,0.993,0.995,0.939
31,0.998,1,0.995,0.939
32,0.994,1,0.995,0.896
33,0.861,0.961,0.969,0.894
34,0.873,0.817,0.926,0.857
35,0.998,1,0.995,0.906
36,0.873,0.983,0.95,0.875
37,0.925,0.783,0.946,0.873
38,0.945,1,0.994,0.928
39,1,0.768,0.991,0.916
40,0.996,1,0.995,0.928
41,0.995,1,0.995,0.938
42,0.994,1,0.995,0.919
